iter	Passed	Remaining
405	495	725
406	497	724
407	498	723
408	499	721
409	500	720
410	502	719
411	503	718
412	504	717
413	506	716
414	510	719
415	512	719
416	514	719
417	516	718
418	517	717
419	519	716
420	520	716
421	523	716
422	524	715
423	525	714
424	528	714
425	530	714
426	532	714
427	534	714
428	536	714
429	539	715
430	540	714
431	542	712
432	543	711
433	545	710
434	546	709
435	548	709
436	549	708
437	551	707
438	553	707
439	554	706
440	556	705
441	557	703
442	558	702
443	560	701
444	561	700
445	562	698
446	564	698
447	565	696
448	567	695
449	569	695
450	570	694
451	572	693
452	573	692
453	575	691
454	577	691
455	578	690
456	580	689
457	584	691
458	586	691
459	588	690
460	590	690
461	591	688
462	593	687
463	594	686
464	595	685
465	598	686
466	600	684
467	601	683
468	602	682
469	603	680
470	604	679
471	606	678
472	607	676
473	608	675
474	610	674
475	612	674
476	614	673
477	616	672
478	618	672
479	619	671
480	625	675
481	629	676
482	631	676
483	635	677
484	637	676
485	641	678
486	644	678
487	645	677
488	647	676
489	649	676
490	650	674
491	652	673
492	653	672
493	655	671
494	656	669
495	658	669
496	660	668
497	661	667
498	663	666
499	664	664
500	665	663
501	667	662
502	668	661
503	671	660
504	674	661
505	676	660
506	678	659
507	680	659
508	682	658
509	683	657
510	685	655
511	686	654
512	690	655
513	692	654
514	693	653
515	694	651
516	696	650
517	698	649
518	699	648
519	700	646
520	701	645
521	703	644
522	704	642
523	706	641
524	708	640
525	709	639
526	710	637
527	712	636
528	713	635
529	715	634
530	718	634
531	719	632
532	720	631
533	722	630
534	723	629
535	725	628
536	727	627
537	729	626
538	733	626
539	734	625
540	736	624
541	737	623
542	740	623
543	742	622
544	744	621
545	746	620
546	748	619
547	750	619
548	752	618
549	753	616
550	754	615
551	756	613
552	757	612
553	758	610
554	761	610
555	762	608
556	763	607
557	765	606
558	767	605
559	769	604
560	770	602
561	771	601
562	773	600
563	777	600
564	778	599
565	780	598
566	781	596
567	783	595
568	784	594
569	785	592
570	787	591
571	788	590
572	790	588
573	792	588
574	793	586
575	796	585
576	797	584
577	798	583
578	800	581
579	801	580
580	803	579
581	804	578
582	807	577
583	809	576
584	810	575
585	811	573
586	813	572
587	815	571
588	816	569
589	817	568
590	819	566
591	820	565
592	822	564
593	824	563
594	825	561
595	826	560
596	828	559
597	829	557
598	831	556
599	832	554
600	833	553
601	835	552
602	837	551
603	838	549
604	840	548
605	841	547
606	842	545
607	844	544
608	845	542
609	846	541
610	848	540
611	851	539
612	852	538
613	853	536
614	855	535
615	856	533
616	858	533
617	860	531
618	861	530
619	862	528
620	864	527
621	866	526
622	867	525
623	869	523
624	870	522
625	871	520
626	873	519
627	874	517
628	875	516
629	876	515
630	878	513
631	879	512
632	881	511
633	882	509
634	884	508
635	885	506
636	887	505
637	888	503
638	889	502
639	890	500
640	892	499
641	893	498
642	896	497
643	897	496
644	899	494
645	900	493
646	902	492
647	903	490
648	905	489
649	906	488
650	907	486
651	909	485
652	912	484
653	914	483
654	915	482
655	916	480
656	917	479
657	919	477
658	920	476
659	922	475
660	923	473
661	925	472
662	927	471
663	929	470
664	930	468
665	932	467
666	933	466
667	935	464
668	936	463
669	938	462
670	939	460
671	942	460
672	944	458
673	945	457
674	946	455
675	947	454
676	949	452
677	951	451
678	952	450
679	953	448
680	956	447
681	957	446
682	959	445
683	960	443
684	961	442
685	963	441
686	965	439
687	966	438
688	968	436
689	969	435
690	973	435
691	975	434
692	976	432
693	978	431
694	979	429
695	980	428
696	981	426
697	983	425
698	985	424
699	987	423
700	989	421
701	990	420
702	992	419
703	993	417
704	994	416
705	996	414
706	999	414
707	1001	412
708	1002	411
709	1004	410
710	1006	408
711	1007	407
712	1008	406
713	1010	404
714	1011	403
715	1014	402
716	1016	401
717	1017	399
718	1019	398
719	1020	396
720	1022	395
721	1023	394
722	1025	392
723	1026	391
724	1028	390
725	1030	388
726	1031	387
727	1033	386
728	1034	384
729	1036	383
730	1037	381
731	1039	380
732	1040	379
733	1041	377
734	1044	376
735	1046	375
736	1047	373
737	1049	372
738	1050	370
739	1051	369
740	1053	368
741	1055	366
742	1056	365
743	1058	364
744	1060	362
745	1061	361
746	1062	360
747	1064	358
748	1065	357
749	1066	355
750	1068	354
751	1069	352
752	1071	351
753	1072	350
754	1074	348
755	1076	347
756	1077	345
757	1079	344
758	1081	343
759	1082	341
760	1083	340
761	1085	338
762	1086	337
763	1088	336
764	1090	335
765	1091	333
766	1093	332
767	1094	330
768	1095	329
769	1097	327
770	1099	326
771	1100	325
772	1102	323
773	1104	322
774	1105	321
775	1107	319
776	1108	318
777	1110	316
778	1112	315
779	1113	314
780	1114	312
781	1116	311
782	1117	309
783	1119	308
784	1120	306
785	1122	305
786	1123	304
787	1124	302
788	1126	301
789	1127	299
790	1129	298
791	1130	296
792	1131	295
793	1134	294
794	1135	292
795	1137	291
796	1138	289
797	1139	288
798	1141	287
799	1142	285
800	1144	284
801	1145	282
802	1146	281
803	1148	280
804	1150	278
805	1151	277
806	1152	275
807	1154	274
808	1155	272
809	1156	271
810	1158	269
811	1159	268
812	1161	267
813	1163	265
814	1165	264
815	1166	263
816	1168	261
817	1169	260
818	1170	258
819	1171	257
820	1173	255
821	1174	254
822	1175	252
823	1176	251
824	1179	250
825	1180	248
826	1182	247
827	1183	245
828	1185	244
829	1186	243
830	1187	241
831	1189	240
832	1190	238
833	1192	237
834	1194	236
835	1195	234
836	1196	233
837	1198	231
838	1199	230
839	1201	228
840	1202	227
841	1203	225
842	1205	224
843	1206	222
844	1208	221
845	1210	220
846	1211	218
847	1212	217
848	1214	215
849	1215	214
850	1217	213
851	1218	211
852	1219	210
853	1221	208
854	1224	207
855	1225	206
856	1226	204
857	1228	203
858	1229	201
859	1230	200
860	1232	198
861	1233	197
862	1235	196
863	1236	194
864	1238	193
865	1240	191
866	1241	190
867	1242	189
868	1243	187
869	1245	186
870	1246	184
871	1248	183
872	1249	181
873	1251	180
874	1253	179
875	1254	177
876	1256	176
877	1257	174
878	1258	173
879	1259	171
880	1261	170
881	1262	168
882	1264	167
883	1265	166
884	1267	164
885	1269	163
886	1270	161
887	1272	160
888	1273	158
889	1274	157
890	1276	156
891	1277	154
892	1279	153
893	1280	151
894	1284	150
895	1286	149
896	1287	147
897	1288	146
898	1289	144
899	1291	143
900	1292	142
901	1293	140
902	1294	139
903	1295	137
904	1297	136
905	1299	134
906	1300	133
907	1302	131
908	1303	130
909	1304	129
910	1306	127
911	1307	126
912	1308	124
913	1310	123
914	1311	121
915	1313	120
916	1314	119
917	1315	117
918	1316	116
919	1318	114
920	1319	113
921	1320	111
922	1321	110
923	1322	108
924	1323	107
925	1324	105
926	1325	104
927	1327	102
928	1328	101
929	1329	100
930	1330	98
931	1331	97
932	1332	95
933	1333	94
934	1334	92
935	1335	91
936	1336	89
937	1337	88
938	1338	86
939	1339	85
940	1340	84
941	1342	82
942	1343	81
943	1344	79
944	1345	78
945	1346	76
946	1347	75
947	1348	73
948	1349	72
949	1351	71
950	1351	69
951	1352	68
952	1353	66
953	1354	65
954	1355	63
955	1357	62
956	1358	61
957	1359	59
958	1360	58
959	1361	56
960	1362	55
961	1363	53
962	1364	52
963	1365	50
964	1366	49
965	1367	48
966	1368	46
967	1369	45
968	1370	43
969	1371	42
970	1372	40
971	1373	39
972	1374	38
973	1375	36
974	1376	35
975	1377	33
976	1378	32
977	1379	31
978	1380	29
979	1381	28
980	1382	26
981	1383	25
982	1386	23
983	1387	22
984	1388	21
985	1390	19
986	1391	18
987	1392	16
988	1393	15
989	1394	14
990	1395	12
991	1396	11
992	1397	9
993	1398	8
994	1399	7
995	1401	5
996	1402	4
997	1403	2
998	1403	1
999	1404	0
